id,text
tam_test_132,அனைத்து முக்குலத்தோர் சமுதாய கட்சிகள் ஆதரவு இருக்கு...!!! எல்லோரும் டிரைலர் பாத்துட்டு நல்லா இருக்குனு சொல்றாங்க...!!! தமிழ்நாடு முக்குலத்து புலிகள் உறுபினர்கள் முழுவதும் அவங்க பார்வைக்கு கொண்டு போயாச்சு...I am waiting the movie
tam_test_133,Dislike Vida Comments Adhigam Like 160+k Verithanam அனைத்து மக்களின் ஆதரவு கமென்ட் பாக்ஸ் ல தெரியுது  அனைவருக்கும் வன்னியர் சார்பாக நன்றி நண்பர்களே......
tam_test_134,(தேவர் சமுதாயம்) முக்குலத்தோர் மக்கள் சார்பாகா படம் வெற்றி பேர வாழ்த்துகிறோம்....
tam_test_135,ஜெயலலிதானு சொல்லி இப்படி பொம்ம மாதிரி மேக்கப் போட்டு வெச்சுரிக்கிங்களே அப்போ எம் ஜி ஆர் கேரக்டருக்கு அரவிந்த் சுவாமி ய என்ன பண்ணி வெச்சுருக்கிங்களோ.
tam_test_136,வருடத்துக்கு இரண்டு முறையாவது இந்த மாதிரி படங்களை எடுங்கள். அப்பத்தான் நமது வீட்டுப் பெண்களின் மனநிலை மாறும்
tam_test_137,"அவ்ளோ ரோஷம் இருக்ர நாம போற பஸ் ல இருந்து, சாப்பாடு வரைக்கும் அவங்க கை கால் படாம சுத்தமா வேணும்னு வாழணும்...அத விட்டுட்டு நமக்கு தேவையான எடத்துல மட்டும் ஜாதி பாக்கரது...தப்பு தானங்க... ஹோட்டல் அஹ் நெய் ரோஸ்ட் நு சொல்லி சாப்பிடும்போது எனக்கு எனொட சாதி காரங்க தா போட்டு தரணும்... அவங்க பொடக்குடாது அப்டின்னு யாரும் சொல்றது இல்லையே... அவன் செய்த சாப்பாடு உடம்புக்கு உள்ள போகும்...ஆனா நாலு பேரு பாக்கும்போது அவங்கள மதிக்காம கேவலமா பேசுனா...அது ஞாயமா"
tam_test_138,நாடோடிகள் 2 வெற்றிவிழா காண வாழ்த்துக்கள் படக்குழுவினர் அனைவருக்கும்
tam_test_139,தரமான சம்பவம் படம் வெற்றி பெற வாழ்த்துக்கள்
tam_test_140,ஆயுத எழுத்து ......ஆன இது செல்வராகவன் Version ..... payagaram....
tam_test_141,2020  அதிக வசூல் கொண்ட படம் இதான் இருக்கும்
tam_test_142,ரஜினியை அவமானப்படுத்த வில்லை ரஜினி ரசிகர்கள் களின். ஆதங்கத்தை வெளிப்படுத்தி இருக்கிறார்கள்
tam_test_143,வெற்றி பெற வாழ்த்துக்கள்  மள்ளர் வம்சம் சார்பாக
tam_test_144,"அடேய், என்னடா நடக்குது இங்க எல்லாரும் அவனவன் ஜாதி பேர பக்கத்தில போட்டு சார்பாக வாழ்த்துக்கள் தெரிவிக்கிறிங்க. உங்களலாம் திருத்தவே முடியாதுடா...."
tam_test_145,தன் இனத்தை உயர்த்த நினைப்பவன் எவனும் பிற இனத்தை தாழ்த்த நினைக்க மாட்டான். விழிப்புணர்வு ஏற்படுத்த வேண்டுமே ஒழிய வன்முறை ஒரு போதும் தீர்வாகாது. ஒவ்வொரு இனத்திற்கும் பண்பாடு கலாசாரம் என்று தனித்தனியாக உள்ளது. எந்த பண்பாடும் கலாச்சாரமும் அழியக் கூடாது எனில் இனக்கலப்பு அவசியமற்றது என்பதை உணர வேண்டும். அதே நேரம் வன்முறையால் அதை அழித்துவிட முடியும் என்ற எண்ணம் தவறானது.
tam_test_146,ஈரோடு மாவட்டம் கொங்கு வேளாளர் கவுண்டர்கள் சார்பாக மாபெரும் வெற்றி பெற வாழ்த்துக்கள்
tam_test_147,தலைவா படத்துல பண்ணதுக்கு விஜய் தலைவி  படத்துல பழிவாங்குறான்
tam_test_148,மாவீரன் மாவட்ட வன்னியர் சங்கத்தின் சார்பாக வெற்றி பெற வாழ்த்துக்கள்
tam_test_149,"படம் மிக பெரிய  வெற்றி பெற முக்குலத்தோர் சார்பாக  வாழ்த்துக்கள் மோகன்,"
tam_test_150,சிவகங்கை மாவட்டம் முக்குலத்தோர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் இது போன்ற படம் தமிழ்நாட்டுக்கு மிகவும் முக்கியம் 
